,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,timestamp,unknown_87,unknown_88,lat,long
0,2300,0,0.0,-40.0,0.0,0.0,70,299164804,1446699693,0,2019-04-26 08:14:58,0,300,25.07570419460535,121.26096745021641
1,2300,0,0.0,-40.0,0.0,0.0,70,299164739,1446699484,0,2019-04-26 08:14:59,0,300,25.07569874636829,121.26094993203878
2,2300,0,3.35,-40.0,0.933,0.0,66,299165068,1446699434,933,2019-04-26 08:15:04,0,300,25.075726322829723,121.2609457410872
3,2300,82,6.06,-40.0,1.624,0.0,68,299165159,1446699735,1624,2019-04-26 08:15:06,0,300,25.07573395036161,121.26097097061574
4,2300,82,10.81,-40.0,2.323,0.0,71,299165057,1446700296,2323,2019-04-26 08:15:08,0,300,25.075725400820374,121.26101799309254
5,2301,82,15.67,-39.80000000000001,2.323,0.5,74,299164782,1446700788,2323,2019-04-26 08:15:10,0,300,25.075702350586653,121.26105923205614
6,2302,82,17.83,-39.60000000000002,2.286,0.5,78,299164688,1446701023,2286,2019-04-26 08:15:11,232,300,25.07569447159767,121.2610789295286
7,2304,81,32.0,-39.19999999999999,2.566,0.5,81,299164025,1446702529,2566,2019-04-26 08:15:16,0,300,25.075638899579644,121.26120516099036
8,2304,82,37.85,-39.19999999999999,2.631,0.5,86,299163713,1446703131,2631,2019-04-26 08:15:18,0,300,25.07561274804175,121.26125562004745
9,2304,82,40.69,-39.19999999999999,2.641,0.5,91,299163538,1446703407,2641,2019-04-26 08:15:19,0,300,25.0755980797112,121.2612787541002
10,2305,82,43.05,-39.0,2.641,0.5,91,299163387,1446703631,2641,2019-04-26 08:15:20,0,300,25.07558542303741,121.26129752956331
11,2305,82,45.09,-39.0,2.603,0.5,95,299163327,1446703865,2603,2019-04-26 08:15:21,0,300,25.075580393895507,121.26131714321673
12,2305,83,47.16,-39.0,2.557,0.5,99,299163388,1446704101,2557,2019-04-26 08:15:22,0,300,25.07558550685644,121.26133692450821
13,2305,82,57.07,-39.0,2.501,0.5,102,299164089,1446704981,2501,2019-04-26 08:15:26,0,300,25.075644263997674,121.26141068525612
14,2305,83,72.78,-39.0,2.51,0.5,105,299164984,1446706555,2510,2019-04-26 08:15:32,0,300,25.07571928203106,121.26154261641204
15,2305,82,86.52,-39.0,2.538,0.5,108,299165986,1446707749,2538,2019-04-26 08:15:37,0,300,25.075803268700838,121.26164269633591
16,2305,82,92.58,-39.0,2.557,0.5,109,299166498,1446708194,2557,2019-04-26 08:15:39,0,300,25.075846184045076,121.26167999580503
