,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,timestamp,unknown_87,unknown_88,lat,long
0,2856,0,0.0,71.20000000000005,0.0,0.0,94,299135045,1446682439,0,2019-05-10 12:13:01,0,300,25.073209824040532,121.2595212366432
1,2857,0,3.29,71.39999999999998,0.961,0.0,94,299134684,1446682468,961,2019-05-10 12:13:02,0,300,25.073179565370083,121.25952366739511
2,2858,0,3.29,71.60000000000002,1.596,0.0,94,299134684,1446682468,1596,2019-05-10 12:13:03,0,300,25.073179565370083,121.25952366739511
3,2858,0,5.16,71.60000000000002,1.68,0.0,94,299134491,1446682372,1680,2019-05-10 12:13:04,0,300,25.073163388296962,121.25951562076807
4,2859,0,7.04,71.79999999999995,1.68,0.0,94,299134293,1446682324,1680,2019-05-10 12:13:05,0,300,25.073146792128682,121.25951159745455
5,2858,0,9.12,71.60000000000002,1.782,0.0,94,299134073,1446682277,1782,2019-05-10 12:13:06,0,300,25.073128351941705,121.25950765796006
6,2859,0,11.82,71.79999999999995,1.782,0.0,94,299133819,1446682114,1782,2019-05-10 12:13:07,0,300,25.07310706190765,121.25949399545789
7,2858,79,13.87,71.60000000000002,1.922,0.0,94,299133658,1446681946,1922,2019-05-10 12:13:08,0,300,25.073093567043543,121.25947991386056
8,2859,79,16.07,71.79999999999995,1.922,0.0,95,299133537,1446681721,1922,2019-05-10 12:13:09,0,300,25.073083424940705,121.25946105457842
9,2857,79,17.57,71.39999999999998,1.773,0.5,98,299133454,1446681566,1773,2019-05-10 12:13:10,0,300,25.073076467961073,121.25944806262851
10,2857,81,19.43,71.39999999999998,1.773,0.0,103,299133383,1446681360,1773,2019-05-10 12:13:11,0,300,25.07307051680982,121.25943079590797
11,2857,81,20.98,71.39999999999998,1.875,0.5,105,299133403,1446681171,1875,2019-05-10 12:13:12,0,300,25.073072193190455,121.25941495411098
12,2856,81,22.4,71.20000000000005,2.006,0.5,107,299133503,1446681030,2006,2019-05-10 12:13:13,0,300,25.073080575093627,121.25940313562751
13,2856,81,23.68,71.20000000000005,2.109,0.5,112,299133650,1446680977,2109,2019-05-10 12:13:14,0,300,25.07309289649129,121.25939869321883
14,2856,82,24.82,71.20000000000005,2.155,0.5,116,299133783,1446680934,2155,2019-05-10 12:13:15,0,300,25.073104044422507,121.25939508900046
15,2857,82,26.32,71.39999999999998,2.193,0.5,120,299133920,1446680838,2193,2019-05-10 12:13:16,0,300,25.073115527629852,121.25938704237342
16,2856,81,27.9,71.20000000000005,2.239,0.5,122,299134073,1446680752,2239,2019-05-10 12:13:17,0,300,25.073128351941705,121.25937983393669
17,2855,81,28.42,71.0,2.267,0.5,126,299134155,1446680781,2267,2019-05-10 12:13:18,0,300,25.073135225102305,121.25938226468861
18,2856,82,29.23,71.20000000000005,2.277,0.5,125,299134260,1446680807,2277,2019-05-10 12:13:19,0,300,25.073144026100636,121.25938444398344
19,2857,82,30.36,71.39999999999998,2.295,0.5,124,299134394,1446680863,2295,2019-05-10 12:13:20,0,300,25.073155257850885,121.25938913784921
20,2857,82,31.59,71.39999999999998,2.314,0.5,127,299134537,1446680918,2314,2019-05-10 12:13:21,0,300,25.07316724397242,121.25939374789596
21,2857,82,31.9,71.39999999999998,2.314,0.5,125,299134585,1446680974,2314,2019-05-10 12:13:22,0,300,25.073171267285943,121.25939844176173
22,2857,83,33.06,71.39999999999998,2.314,0.5,127,299134680,1446680869,2314,2019-05-10 12:13:23,0,300,25.073179230093956,121.2593896407634
23,2857,82,34.38,71.39999999999998,2.314,0.5,128,299134783,1446680739,2314,2019-05-10 12:13:24,0,300,25.073187863454223,121.25937874428928
24,2857,82,35.44,71.39999999999998,2.314,0.5,127,299134856,1446680625,2314,2019-05-10 12:13:25,0,300,25.073193982243538,121.25936918891966
25,2857,82,35.59,71.39999999999998,2.333,0.5,126,299134844,1446680577,2333,2019-05-10 12:13:26,0,300,25.073192976415157,121.25936516560614
26,2857,82,35.59,71.39999999999998,2.333,0.5,126,299134863,1446680633,2333,2019-05-10 12:13:27,0,300,25.07319456897676,121.25936985947192
27,2857,82,36.21,71.39999999999998,2.314,0.5,127,299134945,1446680695,2314,2019-05-10 12:13:28,0,300,25.07320144213736,121.25937505625188
28,2857,82,36.85,71.39999999999998,2.249,0.5,130,299135011,1446680725,2249,2019-05-10 12:13:29,0,300,25.073206974193454,121.25937757082283
29,2857,82,37.39,71.39999999999998,2.211,0.5,134,299135092,1446680671,2211,2019-05-10 12:13:30,0,300,25.073213763535023,121.25937304459512
30,2856,82,37.45,71.20000000000005,2.193,0.5,137,299135090,1446680688,2193,2019-05-10 12:13:31,0,300,25.07321359589696,121.25937446951866
31,2856,81,83.13,71.20000000000005,2.183,0.5,139,299134545,1446674677,2183,2019-05-10 12:13:32,0,300,25.073167914524674,121.25887063331902
32,2857,81,87.57,71.39999999999998,2.183,0.5,141,299134631,1446674146,2183,2019-05-10 12:13:33,0,300,25.073175122961402,121.25882612541318
33,2857,82,90.8,71.39999999999998,2.267,0.5,140,299134701,1446673765,2267,2019-05-10 12:13:34,0,300,25.073180990293622,121.2587941903621
34,2857,82,94.25,71.39999999999998,2.295,0.5,138,299134788,1446673364,2295,2019-05-10 12:13:35,0,300,25.07318828254938,121.25876057893038
35,2857,82,97.18,71.39999999999998,2.333,0.5,137,299134870,1446673029,2333,2019-05-10 12:13:36,0,300,25.073195155709982,121.25873249955475
36,2857,82,100.42,71.39999999999998,2.361,0.5,134,299135030,1446672688,2361,2019-05-10 12:13:37,0,300,25.073208566755056,121.25870391726494
37,2857,81,103.44,71.39999999999998,2.389,0.5,134,299135146,1446672354,2389,2019-05-10 12:13:38,0,300,25.073218289762735,121.25867592170835
38,2857,81,106.85,71.39999999999998,2.407,0.5,135,299135352,1446672020,2407,2019-05-10 12:13:39,0,300,25.07323555648327,121.25864792615175
39,2857,81,109.55,71.39999999999998,2.445,0.5,137,299135415,1446671701,2445,2019-05-10 12:13:40,0,300,25.073240837082267,121.25862118788064
40,2857,81,112.14,71.39999999999998,2.454,0.5,139,299135460,1446671395,2454,2019-05-10 12:13:41,0,300,25.073244608938694,121.25859553925693
41,2857,81,114.71,71.39999999999998,2.463,0.5,135,299135520,1446671097,2463,2019-05-10 12:13:42,0,300,25.073249638080597,121.25857056118548
42,2857,81,117.4,71.39999999999998,2.463,0.5,139,299135617,1446670796,2463,2019-05-10 12:13:43,0,300,25.073257768526673,121.25854533165693
43,2857,81,119.85,71.39999999999998,2.473,0.5,137,299135588,1446670495,2473,2019-05-10 12:13:44,0,300,25.073255337774754,121.25852010212839
44,2856,81,122.51,71.20000000000005,2.482,0.5,136,299135651,1446670188,2482,2019-05-10 12:13:45,0,300,25.07326061837375,121.25849436968565
45,2856,81,125.23,71.20000000000005,2.482,0.5,134,299135737,1446669880,2482,2019-05-10 12:13:46,0,300,25.07326782681048,121.25846855342388
46,2856,82,127.77,71.20000000000005,2.491,0.5,133,299135764,1446669577,2491,2019-05-10 12:13:47,0,300,25.073270089924335,121.25844315625727
47,2856,82,130.49,71.20000000000005,2.491,0.5,131,299135853,1446669271,2491,2019-05-10 12:13:48,0,300,25.073277549818158,121.25841750763357
48,2856,82,133.07,71.20000000000005,2.501,0.5,126,299135918,1446668969,2501,2019-05-10 12:13:49,0,300,25.07328299805522,121.25839219428599
49,2856,82,135.52,71.20000000000005,2.501,0.5,120,299136000,1446668691,2501,2019-05-10 12:13:50,0,300,25.07328987121582,121.25836889259517
50,2857,82,137.54,71.39999999999998,2.491,0.5,116,299135912,1446668404,2491,2019-05-10 12:13:51,0,300,25.07328249514103,121.25834483653307
51,2857,81,139.91,71.39999999999998,2.491,0.5,115,299135959,1446668126,2491,2019-05-10 12:13:52,0,300,25.07328643463552,121.25832153484225
52,2857,81,141.98,71.39999999999998,2.482,0.5,114,299135954,1446667877,2482,2019-05-10 12:13:53,0,300,25.07328601554036,121.25830066390336
53,2857,81,144.11,71.39999999999998,2.463,0.5,114,299135991,1446667628,2463,2019-05-10 12:13:54,0,300,25.073289116844535,121.25827979296446
54,2857,81,146.3,71.39999999999998,2.454,0.5,115,299136006,1446667368,2454,2019-05-10 12:13:55,0,300,25.07329037413001,121.25825800001621
55,2857,81,148.76,71.39999999999998,2.445,0.5,116,299136066,1446667085,2445,2019-05-10 12:13:56,0,300,25.073295403271914,121.25823427923024
56,2857,81,151.35,71.39999999999998,2.445,0.5,117,299136113,1446666783,2445,2019-05-10 12:13:57,0,300,25.073299342766404,121.25820896588266
57,2857,81,153.7,71.39999999999998,2.445,0.5,116,299136120,1446666504,2445,2019-05-10 12:13:58,0,300,25.073299929499626,121.25818558037281
58,2857,81,156.05,71.39999999999998,2.445,0.5,116,299136134,1446666226,2445,2019-05-10 12:13:59,0,300,25.07330110296607,121.258162278682
59,2857,81,158.36,71.39999999999998,2.445,0.5,115,299136028,1446665928,2445,2019-05-10 12:14:00,0,300,25.07329221814871,121.25813730061054
60,2857,81,160.48,71.39999999999998,2.445,0.5,116,299135863,1446665633,2445,2019-05-10 12:14:01,0,300,25.073278388008475,121.25811257399619
61,2857,81,162.63,71.39999999999998,2.445,0.5,117,299135943,1446665392,2445,2019-05-10 12:14:02,0,300,25.073285093531013,121.25809237360954
62,2857,81,164.68,71.39999999999998,2.435,0.5,118,299135884,1446665130,2435,2019-05-10 12:14:03,0,300,25.07328014820814,121.25807041302323
63,2857,80,166.84,71.39999999999998,2.435,0.5,117,299135896,1446664873,2435,2019-05-10 12:14:04,0,300,25.073281154036522,121.25804887153208
64,2857,80,169.03,71.39999999999998,2.417,0.5,118,299135857,1446664596,2417,2019-05-10 12:14:05,0,300,25.073277885094285,121.2580256536603
65,2857,79,171.25,71.39999999999998,2.417,0.5,117,299135875,1446664334,2417,2019-05-10 12:14:06,0,300,25.073279393836856,121.25800369307399
66,2857,79,173.63,71.39999999999998,2.407,0.5,117,299135916,1446664048,2407,2019-05-10 12:14:07,0,300,25.073282830417156,121.25797972083092
67,2857,79,176.16,71.39999999999998,2.398,0.5,115,299136038,1446663779,2398,2019-05-10 12:14:08,0,300,25.073293056339025,121.25795717351139
68,2857,79,178.66,71.39999999999998,2.398,0.5,114,299136141,1446663504,2398,2019-05-10 12:14:09,0,300,25.073301689699292,121.25793412327766
69,2857,80,181.0,71.39999999999998,2.398,0.5,113,299136203,1446663235,2398,2019-05-10 12:14:10,0,300,25.07330688647926,121.25791157595813
