,timestamp,long,lat,altitude,heart_rate,distance,speed
0,2019-05-27 16:36:07,121.26113891601562,25.075794219970703,,78,0.0,0.0
1,2019-05-27 16:36:08,121.26114654541016,25.075822830200195,,78,3.276459161669251,3.276459161669251
2,2019-05-27 16:36:09,121.26114654541016,25.075828552246094,,78,3.913434397379053,0.6369752357098022
3,2019-05-27 16:36:10,121.26114654541016,25.07583999633789,,78,5.187384868798658,1.2739504714196044
4,2019-05-27 16:36:11,121.26114654541016,25.075851440429688,,78,6.4613353402182625,1.2739504714196044
5,2019-05-27 16:36:12,121.26114654541016,25.07586097717285,,78,7.522960733067933,1.0616253928496702
6,2019-05-27 16:36:13,121.26114654541016,25.07586669921875,,78,8.159935968777734,0.6369752357098022
7,2019-05-27 16:36:14,121.26114654541016,25.07586669921875,,78,8.159935968777734,0.0
8,2019-05-27 16:36:15,121.26116180419922,25.075864791870117,,78,9.71302121379428,1.5530852450165444
9,2019-05-27 16:36:16,121.26116943359375,25.07585906982422,,78,10.711763155457673,0.9987419416633937
10,2019-05-27 16:36:17,121.26118469238281,25.075855255126953,69.57999420166016,78,12.307795725288262,1.5960325698305882
11,2019-05-27 16:36:18,121.2612075805664,25.07585334777832,69.57999420166016,78,14.62529752095282,2.317501795664558
12,2019-05-27 16:36:22,121.26127624511719,25.075883865356445,69.57999420166016,78,22.337142060017076,1.9279611347660641
13,2019-05-27 16:36:25,121.26132202148438,25.075927734375,69.57999420166016,82,29.05661007305841,2.239822671013778
14,2019-05-27 16:36:28,121.26136016845703,25.075979232788086,69.57999420166016,85,35.960116780983824,2.301168902641806
15,2019-05-27 16:36:31,121.26140594482422,25.076026916503906,69.57999420166016,85,42.99425368685968,2.344712301958619
16,2019-05-27 16:36:34,121.2614517211914,25.076078414916992,69.57999420166016,87,50.35411684771278,2.453287720284367
17,2019-05-27 16:36:37,121.26148986816406,25.076129913330078,69.57999420166016,89,57.2576209186009,2.301168023629373
18,2019-05-27 16:36:40,121.26152038574219,25.07617950439453,69.57999420166016,92,63.57769286797441,2.10669064979117
19,2019-05-27 16:36:43,121.26155853271484,25.07622718811035,69.57999420166016,100,70.13283003639576,2.185045722807114
20,2019-05-27 16:36:46,121.26158905029297,25.07627296447754,69.57999420166016,109,76.08556899363076,1.9842463190783333
21,2019-05-27 16:36:49,121.26162719726562,25.076322555541992,69.57999420166016,115,82.81379157772346,2.242740861364234
22,2019-05-27 16:36:53,121.26167297363281,25.07639503479004,69.57999420166016,113,92.10900873250525,2.3238042886954444
23,2019-05-27 16:36:56,121.26172637939453,25.076444625854492,69.57999420166016,111,99.82073786262255,2.570576376705769
24,2019-05-27 16:36:59,121.26177978515625,25.07649040222168,69.57999420166016,113,107.23441108156213,2.4712244063131923
25,2019-05-27 16:37:02,121.26183319091797,25.076534271240234,69.57999420166016,113,114.50377685086485,2.423121923100908
26,2019-05-27 16:37:05,121.26187896728516,25.076580047607422,69.57999420166016,113,121.37908590099408,2.2917696833764096
27,2019-05-27 16:37:08,121.26192474365234,25.076622009277344,69.57999420166016,115,127.94584473216719,2.188919610391035
28,2019-05-27 16:37:11,121.26195526123047,25.0766658782959,69.57999420166016,116,133.71786250736287,1.924005925065228
29,2019-05-27 16:37:14,121.26197814941406,25.07672119140625,69.57999420166016,116,140.2935425354249,2.191893342687345
30,2019-05-27 16:37:17,121.26200866699219,25.076770782470703,69.57999420166016,116,146.6136072507058,2.1066882384269663
31,2019-05-27 16:37:21,121.26206970214844,25.076786041259766,69.57999420166016,119,152.99769243571296,1.5960212962517928
32,2019-05-27 16:37:24,121.26212310791016,25.07675552368164,69.57999420166016,121,159.36449732953517,2.1222682979407312
33,2019-05-27 16:37:27,121.26216888427734,25.076704025268555,69.57999420166016,123,166.72434570168343,2.4532827907160875
34,2019-05-27 16:37:30,121.26220703125,25.07665252685547,69.57999420166016,123,173.62784062629405,2.3011649748702054
35,2019-05-27 16:37:33,121.26226043701172,25.07660484313965,69.57999420166016,124,181.1890251503835,2.5203948413631423
36,2019-05-27 16:37:36,121.26231384277344,25.076566696166992,69.57999420166016,123,188.0467283519997,2.285901067205397
37,2019-05-27 16:37:39,121.26235961914062,25.076526641845703,69.57999420166016,124,194.4641913518283,2.139154333276202
38,2019-05-27 16:37:42,121.26240539550781,25.076480865478516,69.57999420166016,126,201.3395029117534,2.291770519975036
39,2019-05-27 16:37:45,121.262451171875,25.076440811157227,69.57999420166016,128,207.7569682384719,2.139155108906165
40,2019-05-27 16:37:48,121.26248931884766,25.076398849487305,69.57999420166016,128,213.80785481976403,2.01696219376404
41,2019-05-27 16:37:51,121.26254272460938,25.076356887817383,69.57999420166016,129,220.93632418167658,2.3761564539708484
42,2019-05-27 16:37:54,121.26261138916016,25.076322555541992,69.57999420166016,129,228.8444070465027,2.6360276216087133
43,2019-05-27 16:37:57,121.26268005371094,25.076295852661133,69.57999420166016,128,236.37881527223556,2.511469408577615
44,2019-05-27 16:38:00,121.26274871826172,25.076269149780273,69.57999420166016,128,243.91322488531696,2.511469871027139
45,2019-05-27 16:38:03,121.26280975341797,25.07623863220215,69.57999420166016,128,250.94263556890144,2.3431368945281594
46,2019-05-27 16:38:06,121.26286315917969,25.076200485229492,69.57999420166016,128,257.80035141616963,2.285905282422736
47,2019-05-27 16:38:09,121.26292419433594,25.076162338256836,69.57999420166016,129,265.2772799946323,2.4923095261542265
48,2019-05-27 16:38:12,121.26299285888672,25.07612419128418,69.57999420166016,130,273.3991121314975,2.707277378955063
