,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,timestamp,unknown_87,unknown_88,lat,long
0,2228,0,0.0,-54.39999999999998,0.0,0.0,118,,,0,2019-04-23 11:36:45,0,100,,
1,2226,0,0.0,-54.80000000000001,0.0,0.0,118,,,0,2019-04-23 11:36:46,0,100,,
2,2226,62,0.0,-54.80000000000001,0.0,0.0,118,,,0,2019-04-23 11:36:47,0,100,,
3,2227,62,1.49,-54.60000000000002,1.493,0.0,118,,,1493,2019-04-23 11:36:48,0,100,,
4,2228,62,3.11,-54.39999999999998,1.614,0.0,118,,,1614,2019-04-23 11:36:49,0,100,,
5,2228,62,4.81,-54.39999999999998,1.698,0.0,118,,,1698,2019-04-23 11:36:50,0,100,,
6,2228,75,6.55,-54.39999999999998,1.745,0.0,118,,,1745,2019-04-23 11:36:51,0,100,,
7,2228,81,8.41,-54.39999999999998,1.857,0.5,118,,,1857,2019-04-23 11:36:52,0,100,,
8,2228,81,10.39,-54.39999999999998,1.987,0.5,118,,,1987,2019-04-23 11:36:53,0,100,,
9,2228,82,12.53,-54.39999999999998,2.137,0.5,118,,,2137,2019-04-23 11:36:54,0,100,,
10,2227,83,14.75,-54.60000000000002,2.221,0.5,117,,,2221,2019-04-23 11:36:55,214,100,,
11,2227,84,17.01,-54.60000000000002,2.258,0.5,117,,,2258,2019-04-23 11:36:56,0,100,,
12,2227,84,19.31,-54.60000000000002,2.305,0.5,118,,,2305,2019-04-23 11:36:57,0,100,,
13,2227,83,21.65,-54.60000000000002,2.333,0.5,124,,,2333,2019-04-23 11:36:58,0,100,,
14,2227,82,23.99,-54.60000000000002,2.342,0.5,126,,,2342,2019-04-23 11:36:59,0,100,,
15,2226,82,26.33,-54.80000000000001,2.342,0.5,132,,,2342,2019-04-23 11:37:00,0,100,,
16,2226,83,28.67,-54.80000000000001,2.342,0.5,135,,,2342,2019-04-23 11:37:01,0,100,,
17,2226,84,31.03,-54.80000000000001,2.361,0.5,139,,,2361,2019-04-23 11:37:02,0,100,,
18,2226,84,33.42,-54.80000000000001,2.389,0.5,144,,,2389,2019-04-23 11:37:03,236,100,,
19,2226,86,35.85,-54.80000000000001,2.426,0.0,142,,,2426,2019-04-23 11:37:04,0,100,,
20,2226,86,38.31,-54.80000000000001,2.463,0.0,138,,,2463,2019-04-23 11:37:05,0,100,,
21,2227,84,40.78,-54.60000000000002,2.473,0.5,137,,,2473,2019-04-23 11:37:06,0,100,,
22,2227,83,43.26,-54.60000000000002,2.473,0.5,140,,,2473,2019-04-23 11:37:07,247,100,,
23,2227,83,45.73,-54.60000000000002,2.473,0.5,139,,,2473,2019-04-23 11:37:08,0,100,,
24,2227,83,48.2,-54.60000000000002,2.473,0.5,137,,,2473,2019-04-23 11:37:09,0,100,,
25,2227,83,50.68,-54.60000000000002,2.473,0.5,139,,,2473,2019-04-23 11:37:10,0,100,,
26,2227,83,53.14,-54.60000000000002,2.463,0.5,140,,,2463,2019-04-23 11:37:11,0,100,,
27,2227,82,55.59,-54.60000000000002,2.454,0.5,141,,,2454,2019-04-23 11:37:12,0,100,,
28,2228,82,58.03,-54.39999999999998,2.445,0.5,141,,,2445,2019-04-23 11:37:13,0,100,,
